Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2bcbZswoB6YKuq0X4W4ZeM,Interest,USDT,2.35743600,USDT,2.35743600,$2.36,-,-,"approved / USDT Interest Earned",2024-08-02 05:00:00
NXT6inJwyrOQDE2bgRciMxhjN,Interest,USDT,2.35682000,USDT,2.35682000,$2.36,-,-,"approved / USDT Interest Earned",2024-08-01 05:00:00
NXT1FNhQAQOnPtdrx4pL9l00y,Interest,NEXO,0.04887855,NEXO,0.04887855,$0.06,-,-,"approved / NEXO Interest Earned",2024-08-01 05:00:00
NXT7kDK6L0gyiCJbentSoorTe,Withdrawal,USDT,-1500.35668100,USDT,1500.00000000,$1499.42,0.35668161,USDT,"approved / USDT withdrawal",2024-07-31 12:14:35
NXT7EjC9lb7sJjrCft1nPFd9d,Interest,NEXO,0.04247124,NEXO,0.04247124,$0.05,-,-,"approved / NEXO Interest Earned",2024-07-31 05:00:00
NXT59CeRIsygpWa9Ezs97drIn,Interest,USDT,1.90365400,USDT,1.90365400,$1.90,-,-,"approved / USDT Interest Earned",2024-07-31 05:00:00
NXT5GMN3nkqKLq4QgSk0JgGRA,Exchange Cashback,NEXO,0.05958273,NEXO,0.05958273,$0.07,-,-,"approved / 0.1 % on top of your Exchange transaction",2024-07-30 19:26:27
NXT4ITM8GDb0aWER5A1QIidAa,Exchange,USDT,-70.24000000,NEXO,59.58273416,$69.84,-,-,"approved / Exchange Tether to NEXO Token",2024-07-30 19:26:26
NXT76NvRh15KCktKEBTKXTmUq,Exchange Cashback,USDT,3.30391400,USDT,3.30391400,$3.30,-,-,"approved / 0.1 % on top of your Exchange transaction",2024-07-30 19:25:02
NXT4IfubB7JRSwuU5mTpSWujA,Exchange,EURX,-3085.02000000,USDT,3303.91392300,$3303.02,-,-,"approved / Exchange EURX to Tether",2024-07-30 19:25:02
NXT1ihd2KS5o78xA6NZjjZkFW,Exchange Deposited On,EUR,-3085.02000000,EURX,3085.02000000,$3331.82,-,-,"approved / EUR to EURX",2024-07-30 18:59:39
NXT6PmbkTKDQvGMjtppJ0wSvn,Deposit To Exchange,EUR,3085.02000000,EURX,3085.02000000,$3331.82,-,-,"approved / EUR Top Up",2024-07-30 18:59:39
NXT75QmsOOMQuExj72rX0DNWb,Interest,NEXO,0.04246027,NEXO,0.04246027,$0.05,-,-,"approved / NEXO Interest Earned",2024-07-30 05:00:00
NXT3xd8iIHdoZjQQw4pCQPNVH,Interest,USDT,1.90229400,USDT,1.90229400,$1.90,-,-,"approved / USDT Interest Earned",2024-07-30 05:00:00
NXT7jPAIEGuNCdWJfcWZPjx6m,Withdrawal,USDT,-500.35763800,USDT,500.00000000,$500.31,0.35763835,USDT,"approved / USDT withdrawal",2024-07-29 14:43:06
NXT5t3IcEp6WyEQ3l7DauChek,Interest,USDT,2.03243600,USDT,2.03243600,$2.03,-,-,"approved / USDT Interest Earned",2024-07-29 05:00:00
NXT2oIDdGdDRfi1bjs16KNZ7z,Interest,NEXO,0.04245571,NEXO,0.04245571,$0.05,-,-,"approved / NEXO Interest Earned",2024-07-29 05:00:00
NXT1b0E4VgbPfFi1uBrBvTWyN,Interest,NEXO,0.04245115,NEXO,0.04245115,$0.05,-,-,"approved / NEXO Interest Earned",2024-07-28 05:00:00
